consumption_id,icp_id,retailer_id,price_category_code,region,billing_month,billing_period_start,billing_period_end,icp_days,price_year,expected_delivery_charge_unrounded,component_count,expected_delivery_charge,data_origin,system_billed_amount_unrounded,system_billed_amount,system_line_count,detected_issue_type,billing_variance_unrounded,billing_variance,absolute_variance,variance_direction,validation_status,total_kwh
ICP000001-202602,ICP000001,RET002,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,49.24498651,6,49.24,Calculated reconciliation,49.24498651,49.24,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,413.965
ICP000002-202602,ICP000002,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,65.58936351999999,6,65.59,Calculated reconciliation,65.58936351999999,65.59,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,597.103
ICP000003-202602,ICP000003,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,65.39777411,6,65.4,Calculated reconciliation,65.39777411,65.4,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,626.471
ICP000004-202602,ICP000004,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.52805406,6,54.53,Calculated reconciliation,54.52805406,54.53,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,549.101
ICP000005-202602,ICP000005,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,55.25067792,6,55.25,Calculated reconciliation,55.25067792,55.25,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,593.328
ICP000006-202602,ICP000006,RET005,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,65.92665337,6,65.93,Calculated reconciliation,65.92665337,65.93,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,514.323
ICP000007-202602,ICP000007,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,93.24194832,6,93.24,Calculated reconciliation,93.24194832,93.24,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,999.593
ICP000008-202602,ICP000008,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,64.12890795,6,64.13,Calculated reconciliation,64.12890795,64.13,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,705.596
ICP000009-202602,ICP000009,RET005,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,40.13563401,6,40.14,Calculated reconciliation,40.13563401,40.14,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,339.276
ICP000010-202602,ICP000010,RET005,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,49.58393462,6,49.58,Calculated reconciliation,49.58393462,49.58,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,539.591
ICP000011-202602,ICP000011,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,44.64676753,6,44.65,Calculated reconciliation,44.64676753,44.65,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,445.296
ICP000012-202602,ICP000012,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,45.60570869,6,45.61,Calculated reconciliation,45.60570869,45.61,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,410.407
ICP000013-202602,ICP000013,RET002,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,36.44738598,6,36.45,Calculated reconciliation,36.44738598,36.45,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,265.151
ICP000014-202602,ICP000014,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,77.05361595,6,77.05,Calculated reconciliation,77.05361595,77.05,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,820.843
ICP000015-202602,ICP000015,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,46.5802222,6,46.58,Calculated reconciliation,46.5802222,46.58,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,408.386
