consumption_id,icp_id,retailer_id,connection_group,control_type,price_category_code,region,billing_month,billing_period_start,billing_period_end,icp_days,component_name,quantity,quantity_unit,price_year,effective_from,effective_to,component_code,delivery_price,unit,price_effective_for_period,expected_charge_unrounded,expected_charge_display,data_origin
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,URESUFXD,0.75,$/con/day,True,21.0,21.0,Calculated from public prices and simulated quantities
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Off Peak,54.244,kWh,2025,2025-04-01,2026-03-31,URESUOP,0.00721,$/kWh,True,0.39109924,0.3911,Calculated from public prices and simulated quantities
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Peak,54.296,kWh,2025,2025-04-01,2026-03-31,URESUP,0.15611,$/kWh,True,8.47614856,8.47615,Calculated from public prices and simulated quantities
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Shoulder,154.824,kWh,2025,2025-04-01,2026-03-31,URESUSH,0.09101,$/kWh,True,14.09053224,14.09053,Calculated from public prices and simulated quantities
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,15.482,kWh,2025,2025-04-01,2026-03-31,URESUSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Weekend,135.119,kWh,2025,2025-04-01,2026-03-31,URESUWKD,0.03913,$/kWh,True,5.28720647,5.28721,Calculated from public prices and simulated quantities
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RSCCFXD,1.0191,$/con/day,True,28.534799999999997,28.5348,Calculated from public prices and simulated quantities
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,152.905,kWh,2025,2025-04-01,2026-03-31,RSCCOP,0.00582,$/kWh,True,0.8899071,0.88991,Calculated from public prices and simulated quantities
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,166.16,kWh,2025,2025-04-01,2026-03-31,RSCCP,0.12458,$/kWh,True,20.7002128,20.70021,Calculated from public prices and simulated quantities
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,165.287,kWh,2025,2025-04-01,2026-03-31,RSCCSH,0.0726,$/kWh,True,11.9998362,11.99984,Calculated from public prices and simulated quantities
