consumption_id,icp_id,retailer_id,price_category_code,region,billing_month,billing_period_start,billing_period_end,icp_days,price_year,expected_delivery_charge_unrounded,component_count,expected_delivery_charge,data_origin
ICP000001-202602,ICP000001,RET002,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,49.244986510000004,6,49.24,Calculated from public prices and simulated quantities
ICP000002-202602,ICP000002,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,65.58936351999999,6,65.59,Calculated from public prices and simulated quantities
ICP000003-202602,ICP000003,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,65.39777411,6,65.4,Calculated from public prices and simulated quantities
ICP000004-202602,ICP000004,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.52805406,6,54.53,Calculated from public prices and simulated quantities
ICP000005-202602,ICP000005,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,55.25067792,6,55.25,Calculated from public prices and simulated quantities
ICP000006-202602,ICP000006,RET005,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,65.92665337,6,65.93,Calculated from public prices and simulated quantities
ICP000007-202602,ICP000007,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,93.24194831999999,6,93.24,Calculated from public prices and simulated quantities
ICP000008-202602,ICP000008,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,64.12890795,6,64.13,Calculated from public prices and simulated quantities
ICP000009-202602,ICP000009,RET005,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,40.135634010000004,6,40.14,Calculated from public prices and simulated quantities
ICP000010-202602,ICP000010,RET005,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,49.58393462,6,49.58,Calculated from public prices and simulated quantities
ICP000011-202602,ICP000011,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,44.64676753,6,44.65,Calculated from public prices and simulated quantities
ICP000012-202602,ICP000012,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,45.60570869,6,45.61,Calculated from public prices and simulated quantities
ICP000013-202602,ICP000013,RET002,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,36.44738598,6,36.45,Calculated from public prices and simulated quantities
ICP000014-202602,ICP000014,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,77.05361595,6,77.05,Calculated from public prices and simulated quantities
ICP000015-202602,ICP000015,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,46.5802222,6,46.58,Calculated from public prices and simulated quantities
ICP000016-202602,ICP000016,RET002,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,54.41479124,6,54.41,Calculated from public prices and simulated quantities
ICP000017-202602,ICP000017,RET003,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,70.64712046,6,70.65,Calculated from public prices and simulated quantities
ICP000018-202602,ICP000018,RET003,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,52.45384504,6,52.45,Calculated from public prices and simulated quantities
ICP000019-202602,ICP000019,RET001,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,65.59269535,6,65.59,Calculated from public prices and simulated quantities
ICP000020-202602,ICP000020,RET001,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,52.31617541,6,52.32,Calculated from public prices and simulated quantities
ICP000021-202602,ICP000021,RET005,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.09273071,6,54.09,Calculated from public prices and simulated quantities
ICP000022-202602,ICP000022,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,87.66916764,6,87.67,Calculated from public prices and simulated quantities
ICP000023-202602,ICP000023,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,52.933622109999995,6,52.93,Calculated from public prices and simulated quantities
ICP000024-202602,ICP000024,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,50.76747507,6,50.77,Calculated from public prices and simulated quantities
ICP000025-202602,ICP000025,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,48.10805512,6,48.11,Calculated from public prices and simulated quantities
