consumption_id,icp_id,retailer_id,price_category_code,region,billing_month,charge_at_2025_rates,charge_at_2026_rates,price_change_impact,price_change_impact_pct,analysis_basis
ICP000001-202604,ICP000001,RET002,URES,Selwyn,2026-04,59.00939,67.40923,8.39984,14.23,Same quantities and categories; price schedule changed only
ICP000002-202604,ICP000002,RET004,RSC,Christchurch Urban,2026-04,75.31281,84.51127,9.19846,12.21,Same quantities and categories; price schedule changed only
ICP000003-202604,ICP000003,RET001,RES,Christchurch Urban,2026-04,68.07737,78.27734,10.19996,14.98,Same quantities and categories; price schedule changed only
ICP000004-202604,ICP000004,RET003,RES,Christchurch Urban,2026-04,59.62365,68.82742,9.20377,15.44,Same quantities and categories; price schedule changed only
ICP000005-202604,ICP000005,RET001,RES,Christchurch Urban,2026-04,47.14923,54.86299,7.71376,16.36,Same quantities and categories; price schedule changed only
ICP000006-202604,ICP000006,RET005,RSU,Christchurch Urban,2026-04,87.09674,96.57177,9.47504,10.88,Same quantities and categories; price schedule changed only
ICP000007-202604,ICP000007,RET001,RSC,Christchurch Urban,2026-04,94.28528,106.42781,12.14252,12.88,Same quantities and categories; price schedule changed only
ICP000008-202604,ICP000008,RET002,RSC,Christchurch Urban,2026-04,88.36782,99.57091,11.20309,12.68,Same quantities and categories; price schedule changed only
ICP000009-202604,ICP000009,RET005,URES,Christchurch Urban,2026-04,59.57816,68.26689,8.68874,14.58,Same quantities and categories; price schedule changed only
ICP000010-202604,ICP000010,RET005,RES,Christchurch Urban,2026-04,86.88822,98.82515,11.93693,13.74,Same quantities and categories; price schedule changed only
ICP000011-202604,ICP000011,RET001,RES,Christchurch Urban,2026-04,72.90565,83.30616,10.4005,14.27,Same quantities and categories; price schedule changed only
ICP000012-202604,ICP000012,RET001,RES,Christchurch Urban,2026-04,63.71595,73.15916,9.44321,14.82,Same quantities and categories; price schedule changed only
ICP000013-202604,ICP000013,RET002,URES,Central Canterbury Rural,2026-04,75.91553,86.18379,10.26826,13.53,Same quantities and categories; price schedule changed only
ICP000014-202604,ICP000014,RET004,RSC,Christchurch Urban,2026-04,76.32828,85.30161,8.97333,11.76,Same quantities and categories; price schedule changed only
ICP000015-202604,ICP000015,RET004,RES,Christchurch Urban,2026-04,64.32262,73.96369,9.64107,14.99,Same quantities and categories; price schedule changed only
