icp_id,retailer_id,connection_group,control_type,price_category_code,region,connection_start_date,connection_end_date,status,data_origin
ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2022-04-02,,Active,Simulated
ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-02-04,,Active,Simulated
ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-10-25,,Active,Simulated
ICP000004,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2021-10-15,,Active,Simulated
ICP000005,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-09-07,,Active,Simulated
ICP000006,RET005,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2021-12-06,,Active,Simulated
ICP000007,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-06-07,,Active,Simulated
ICP000008,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-02-13,,Active,Simulated
ICP000009,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-07-27,,Active,Simulated
ICP000010,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2021-08-22,,Active,Simulated
ICP000011,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-05-30,,Active,Simulated
ICP000012,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2024-04-12,,Active,Simulated
ICP000013,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2022-04-28,,Active,Simulated
ICP000014,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-09-28,,Active,Simulated
ICP000015,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2022-12-14,,Active,Simulated
ICP000016,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2022-12-10,,Active,Simulated
ICP000017,RET003,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-12-27,,Active,Simulated
ICP000018,RET003,Residential Low User,Uncontrolled,URES,Christchurch Urban,2024-05-31,,Active,Simulated
ICP000019,RET001,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2024-07-27,,Active,Simulated
ICP000020,RET001,Residential Low User,Uncontrolled,URES,Selwyn,2023-03-02,,Active,Simulated
ICP000021,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-06-28,,Active,Simulated
ICP000022,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2021-12-21,,Active,Simulated
ICP000023,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-04-09,,Active,Simulated
ICP000024,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2023-06-21,,Active,Simulated
ICP000025,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2023-07-14,,Active,Simulated
ICP000026,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2021-06-15,,Active,Simulated
ICP000027,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2022-09-20,,Active,Simulated
ICP000028,RET002,Residential Low User,Controlled,RES,Selwyn,2023-03-20,,Active,Simulated
ICP000029,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-03-12,,Active,Simulated
ICP000030,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-11-28,,Active,Simulated
ICP000031,RET002,Residential Standard User,Uncontrolled,RSU,Selwyn,2023-12-26,,Active,Simulated
ICP000032,RET004,Residential Low User,Uncontrolled,URES,Christchurch Urban,2023-09-30,,Active,Simulated
ICP000033,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2022-05-08,,Active,Simulated
ICP000034,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2024-07-15,,Active,Simulated
ICP000035,RET005,Residential Standard User,Controlled,RSC,Selwyn,2024-01-04,,Active,Simulated
ICP000036,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-01-31,,Active,Simulated
ICP000037,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2024-08-25,,Active,Simulated
ICP000038,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-07-07,,Active,Simulated
ICP000039,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2024-10-19,,Active,Simulated
ICP000040,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2024-01-29,,Active,Simulated
ICP000041,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2024-05-31,,Active,Simulated
ICP000042,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2021-07-29,,Active,Simulated
ICP000043,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-02-20,,Active,Simulated
ICP000044,RET003,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-07-13,,Active,Simulated
ICP000045,RET001,Residential Standard User,Controlled,RSC,Central Canterbury Rural,2021-03-29,,Active,Simulated
ICP000046,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2021-10-01,,Active,Simulated
ICP000047,RET001,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2021-08-21,,Active,Simulated
ICP000048,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2023-04-18,,Active,Simulated
ICP000049,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-06-29,,Active,Simulated
ICP000050,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2021-10-11,,Active,Simulated
ICP000051,RET004,Residential Low User,Uncontrolled,URES,Christchurch Urban,2024-04-26,,Active,Simulated
ICP000052,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-03-22,,Active,Simulated
ICP000053,RET003,Residential Standard User,Controlled,RSC,Central Canterbury Rural,2024-09-06,,Active,Simulated
ICP000054,RET002,Residential Standard User,Controlled,RSC,Selwyn,2022-12-12,,Active,Simulated
ICP000055,RET001,Residential Low User,Controlled,RES,Central Canterbury Rural,2023-01-02,,Active,Simulated
ICP000056,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-05-04,,Active,Simulated
ICP000057,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-08-16,,Active,Simulated
ICP000058,RET003,Residential Low User,Controlled,RES,Selwyn,2022-12-22,,Active,Simulated
ICP000059,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2023-03-25,,Active,Simulated
ICP000060,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-01-20,,Active,Simulated
ICP000061,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-12-14,,Active,Simulated
ICP000062,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2022-03-01,,Active,Simulated
ICP000063,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-04-24,,Active,Simulated
ICP000064,RET002,Residential Low User,Controlled,RES,Central Canterbury Rural,2022-12-05,,Active,Simulated
ICP000065,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-01-13,,Active,Simulated
ICP000066,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-06-20,,Active,Simulated
ICP000067,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2023-11-02,,Active,Simulated
ICP000068,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2022-11-14,,Active,Simulated
ICP000069,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-06-20,,Active,Simulated
ICP000070,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2024-01-14,,Active,Simulated
ICP000071,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2022-02-23,,Active,Simulated
ICP000072,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-08-02,,Active,Simulated
ICP000073,RET002,Residential Standard User,Controlled,RSC,Central Canterbury Rural,2023-03-10,,Active,Simulated
ICP000074,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2024-04-19,,Active,Simulated
ICP000075,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2024-07-24,,Active,Simulated
ICP000076,RET003,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-05-05,,Active,Simulated
ICP000077,RET002,Residential Low User,Controlled,RES,Central Canterbury Rural,2022-07-16,,Active,Simulated
ICP000078,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2023-05-25,,Active,Simulated
ICP000079,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-11-04,,Active,Simulated
ICP000080,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-03-10,,Active,Simulated
ICP000081,RET003,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2023-05-15,,Active,Simulated
ICP000082,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2022-09-04,,Active,Simulated
ICP000083,RET003,Residential Low User,Controlled,RES,Selwyn,2021-10-14,,Active,Simulated
ICP000084,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-08-08,,Active,Simulated
ICP000085,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-04-03,,Active,Simulated
ICP000086,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2021-03-31,,Active,Simulated
ICP000087,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-02-26,,Active,Simulated
ICP000088,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2024-02-22,,Active,Simulated
ICP000089,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2021-02-26,,Active,Simulated
ICP000090,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2024-01-17,,Active,Simulated
ICP000091,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2021-12-29,,Active,Simulated
ICP000092,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-06-06,,Active,Simulated
ICP000093,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2021-06-01,,Active,Simulated
ICP000094,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2023-06-27,,Active,Simulated
ICP000095,RET001,Residential Low User,Controlled,RES,Central Canterbury Rural,2024-12-08,,Active,Simulated
ICP000096,RET002,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-10-12,,Active,Simulated
ICP000097,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2024-07-03,,Active,Simulated
ICP000098,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2021-10-17,,Active,Simulated
ICP000099,RET003,Residential Standard User,Controlled,RSC,Selwyn,2024-05-26,,Active,Simulated
ICP000100,RET003,Residential Standard User,Controlled,RSC,Central Canterbury Rural,2022-08-14,,Active,Simulated
