exception_id,consumption_id,icp_id,retailer_id,billing_month,expected_delivery_charge_unrounded,system_billed_amount_unrounded,injected_exception_type,injected_financial_impact,data_origin
INJ011,ICP000021-202603,ICP000021,RET005,2026-03,69.43689479,74.68689479,CALCULATION_ERROR,5.25,Controlled simulated exception
INJ039,ICP000040-202605,ICP000040,RET004,2026-05,67.12660794,72.37660794,CALCULATION_ERROR,5.25,Controlled simulated exception
INJ023,ICP000056-202604,ICP000056,RET005,2026-04,75.5731472,80.8231472,CALCULATION_ERROR,5.25,Controlled simulated exception
INJ041,ICP000078-202605,ICP000078,RET003,2026-05,93.37921718,98.62921718,CALCULATION_ERROR,5.25,Controlled simulated exception
INJ028,ICP000155-202604,ICP000155,RET004,2026-04,108.03246333,113.28246333,CALCULATION_ERROR,5.25,Controlled simulated exception
INJ031,ICP000254-202604,ICP000254,RET002,2026-04,68.95793268999999,74.20793268999999,CALCULATION_ERROR,5.25,Controlled simulated exception
INJ014,ICP000263-202603,ICP000263,RET001,2026-03,71.2675246,76.5175246,CALCULATION_ERROR,5.25,Controlled simulated exception
INJ006,ICP000297-202602,ICP000297,RET001,2026-02,57.92491008,63.17491008,CALCULATION_ERROR,5.25,Controlled simulated exception
INJ015,ICP000303-202603,ICP000303,RET005,2026-03,65.93984445,71.18984445,CALCULATION_ERROR,5.25,Controlled simulated exception
INJ007,ICP000316-202602,ICP000316,RET005,2026-02,50.90098122,56.15098122,CALCULATION_ERROR,5.25,Controlled simulated exception
INJ040,ICP000050-202605,ICP000050,RET004,2026-05,75.42359134,110.27406154,DUPLICATE_CONSUMPTION,34.85047,Controlled simulated exception
INJ003,ICP000128-202602,ICP000128,RET001,2026-02,60.95288174,79.05524123000001,DUPLICATE_CONSUMPTION,18.10236,Controlled simulated exception
INJ004,ICP000140-202602,ICP000140,RET002,2026-02,78.0414889,107.01878321000001,DUPLICATE_CONSUMPTION,28.97729,Controlled simulated exception
INJ044,ICP000243-202605,ICP000243,RET003,2026-05,98.06395827,129.10966787,DUPLICATE_CONSUMPTION,31.04571,Controlled simulated exception
INJ033,ICP000296-202604,ICP000296,RET002,2026-04,71.75214436,94.84950826,DUPLICATE_CONSUMPTION,23.09736,Controlled simulated exception
INJ034,ICP000309-202604,ICP000309,RET002,2026-04,56.53412383,82.66990636,DUPLICATE_CONSUMPTION,26.13578,Controlled simulated exception
INJ008,ICP000337-202602,ICP000337,RET001,2026-02,71.01584584,91.39975002,DUPLICATE_CONSUMPTION,20.3839,Controlled simulated exception
INJ009,ICP000354-202602,ICP000354,RET001,2026-02,78.67976992999999,105.93139577,DUPLICATE_CONSUMPTION,27.25163,Controlled simulated exception
INJ017,ICP000363-202603,ICP000363,RET004,2026-03,50.21366577,70.35294854,DUPLICATE_CONSUMPTION,20.13928,Controlled simulated exception
INJ018,ICP000448-202603,ICP000448,RET005,2026-03,49.27092768,64.14118572999999,DUPLICATE_CONSUMPTION,14.87026,Controlled simulated exception
INJ001,ICP000076-202602,ICP000076,RET003,2026-02,88.59374634,90.63194634,INCORRECT_ICP_DAYS,2.0382,Controlled simulated exception
INJ002,ICP000107-202602,ICP000107,RET004,2026-02,58.66236999,60.16236999,INCORRECT_ICP_DAYS,1.5,Controlled simulated exception
INJ012,ICP000139-202603,ICP000139,RET003,2026-03,74.08673055,75.30233055,INCORRECT_ICP_DAYS,1.2156,Controlled simulated exception
INJ030,ICP000250-202604,ICP000250,RET001,2026-04,65.92373956,67.43813956,INCORRECT_ICP_DAYS,1.5144,Controlled simulated exception
INJ046,ICP000301-202605,ICP000301,RET001,2026-05,96.14740287,97.94740287,INCORRECT_ICP_DAYS,1.8,Controlled simulated exception
INJ010,ICP000433-202602,ICP000433,RET002,2026-02,47.56229866,48.777898660000005,INCORRECT_ICP_DAYS,1.2156,Controlled simulated exception
INJ049,ICP000459-202605,ICP000459,RET001,2026-05,95.93678854,98.18538854,INCORRECT_ICP_DAYS,2.2486,Controlled simulated exception
INJ020,ICP000462-202603,ICP000462,RET002,2026-03,63.76756876,64.98316876,INCORRECT_ICP_DAYS,1.2156,Controlled simulated exception
INJ050,ICP000466-202605,ICP000466,RET001,2026-05,76.41929481,77.93369481,INCORRECT_ICP_DAYS,1.5144,Controlled simulated exception
INJ021,ICP000496-202603,ICP000496,RET001,2026-03,82.12030302,84.15850302,INCORRECT_ICP_DAYS,2.0382,Controlled simulated exception
INJ022,ICP000002-202604,ICP000002,RET004,2026-04,84.51127352,75.31281442,OLD_PRICE_APPLIED,-9.19846,Controlled simulated exception
INJ038,ICP000026-202605,ICP000026,RET004,2026-05,73.86077779,64.34747446,OLD_PRICE_APPLIED,-9.5133,Controlled simulated exception
INJ024,ICP000064-202604,ICP000064,RET002,2026-04,75.09732624,65.36652693,OLD_PRICE_APPLIED,-9.7308,Controlled simulated exception
INJ025,ICP000093-202604,ICP000093,RET005,2026-04,60.63778177,52.4602915,OLD_PRICE_APPLIED,-8.17749,Controlled simulated exception
INJ026,ICP000137-202604,ICP000137,RET004,2026-04,93.79624639,82.31384828,OLD_PRICE_APPLIED,-11.4824,Controlled simulated exception
INJ027,ICP000149-202604,ICP000149,RET001,2026-04,59.93280562,51.78955992,OLD_PRICE_APPLIED,-8.14325,Controlled simulated exception
INJ029,ICP000169-202604,ICP000169,RET005,2026-04,68.61349315,59.68276392,OLD_PRICE_APPLIED,-8.93073,Controlled simulated exception
INJ047,ICP000323-202605,ICP000323,RET002,2026-05,83.27182047000001,73.13485552,OLD_PRICE_APPLIED,-10.13696,Controlled simulated exception
INJ036,ICP000435-202604,ICP000435,RET001,2026-04,54.36882241,46.63092833,OLD_PRICE_APPLIED,-7.73789,Controlled simulated exception
INJ037,ICP000436-202604,ICP000436,RET004,2026-04,57.67241319,51.76922029999999,OLD_PRICE_APPLIED,-5.90319,Controlled simulated exception
INJ042,ICP000168-202605,ICP000168,RET001,2026-05,69.66180113,72.78306148,WRONG_PRICE_CATEGORY,3.12126,Controlled simulated exception
INJ043,ICP000226-202605,ICP000226,RET001,2026-05,80.08115839,80.66535758,WRONG_PRICE_CATEGORY,0.5842,Controlled simulated exception
INJ013,ICP000234-202603,ICP000234,RET003,2026-03,100.52187515,105.23747646999999,WRONG_PRICE_CATEGORY,4.7156,Controlled simulated exception
INJ032,ICP000258-202604,ICP000258,RET001,2026-04,77.80769381,77.16634302,WRONG_PRICE_CATEGORY,-0.64135,Controlled simulated exception
INJ045,ICP000294-202605,ICP000294,RET002,2026-05,67.69483864,70.77315928,WRONG_PRICE_CATEGORY,3.07832,Controlled simulated exception
INJ005,ICP000296-202602,ICP000296,RET002,2026-02,73.97684775,73.93575369,WRONG_PRICE_CATEGORY,-0.04109,Controlled simulated exception
INJ016,ICP000326-202603,ICP000326,RET002,2026-03,48.09410456,54.91442137999999,WRONG_PRICE_CATEGORY,6.82032,Controlled simulated exception
INJ048,ICP000348-202605,ICP000348,RET002,2026-05,69.73417824,72.16025754,WRONG_PRICE_CATEGORY,2.42608,Controlled simulated exception
INJ035,ICP000380-202604,ICP000380,RET004,2026-04,80.9374083,80.75720303,WRONG_PRICE_CATEGORY,-0.18021,Controlled simulated exception
INJ019,ICP000450-202603,ICP000450,RET005,2026-03,67.08129673,70.07207138,WRONG_PRICE_CATEGORY,2.99077,Controlled simulated exception
