consumption_id,icp_id,retailer_id,connection_group,control_type,expected_price_category_code,region,billing_month,billing_period_start,billing_period_end,icp_days,component_name,expected_quantity,quantity_unit,expected_price_year,effective_from,effective_to,expected_component_code,expected_delivery_price,unit,price_effective_for_period,expected_charge_unrounded,expected_charge_display,data_origin,applied_price_category_code,applied_price_year,system_component_code,system_quantity,system_delivery_price,system_charge_unrounded,injected_exception_type,system_line_id
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,URESUFXD,0.75,$/con/day,True,21.0,21.0,Calculated from public prices and simulated quantities,URES,2025,URESUFXD,28.0,0.75,21.0,,SYS0000001
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Off Peak,54.244,kWh,2025,2025-04-01,2026-03-31,URESUOP,0.00721,$/kWh,True,0.39109924,0.3911,Calculated from public prices and simulated quantities,URES,2025,URESUOP,54.244,0.00721,0.39109924,,SYS0000002
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Peak,54.296,kWh,2025,2025-04-01,2026-03-31,URESUP,0.15611,$/kWh,True,8.47614856,8.47615,Calculated from public prices and simulated quantities,URES,2025,URESUP,54.296,0.15611,8.47614856,,SYS0000003
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Shoulder,154.824,kWh,2025,2025-04-01,2026-03-31,URESUSH,0.09101,$/kWh,True,14.09053224,14.09053,Calculated from public prices and simulated quantities,URES,2025,URESUSH,154.824,0.09101,14.09053224,,SYS0000004
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,15.482,kWh,2025,2025-04-01,2026-03-31,URESUSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities,URES,2025,URESUSOP,15.482,0.0,0.0,,SYS0000005
ICP000001-202602,ICP000001,RET002,Residential Low User,Uncontrolled,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,Weekend,135.119,kWh,2025,2025-04-01,2026-03-31,URESUWKD,0.03913,$/kWh,True,5.28720647,5.28721,Calculated from public prices and simulated quantities,URES,2025,URESUWKD,135.119,0.03913,5.28720647,,SYS0000006
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RSCCFXD,1.0191,$/con/day,True,28.534799999999997,28.5348,Calculated from public prices and simulated quantities,RSC,2025,RSCCFXD,28.0,1.0191,28.534799999999997,,SYS0000007
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,152.905,kWh,2025,2025-04-01,2026-03-31,RSCCOP,0.00582,$/kWh,True,0.8899071,0.88991,Calculated from public prices and simulated quantities,RSC,2025,RSCCOP,152.905,0.00582,0.8899071,,SYS0000008
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,166.16,kWh,2025,2025-04-01,2026-03-31,RSCCP,0.12458,$/kWh,True,20.7002128,20.70021,Calculated from public prices and simulated quantities,RSC,2025,RSCCP,166.16,0.12458,20.7002128,,SYS0000009
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,165.287,kWh,2025,2025-04-01,2026-03-31,RSCCSH,0.0726,$/kWh,True,11.9998362,11.99984,Calculated from public prices and simulated quantities,RSC,2025,RSCCSH,165.287,0.0726,11.9998362,,SYS0000010
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,1.313,kWh,2025,2025-04-01,2026-03-31,RSCCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities,RSC,2025,RSCCSOP,1.313,0.0,0.0,,SYS0000011
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,111.438,kWh,2025,2025-04-01,2026-03-31,RSCCWKD,0.03109,$/kWh,True,3.46460742,3.46461,Calculated from public prices and simulated quantities,RSC,2025,RSCCWKD,111.438,0.03109,3.46460742,,SYS0000012
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RESCFXD,0.6078,$/con/day,True,17.0184,17.0184,Calculated from public prices and simulated quantities,RES,2025,RESCFXD,28.0,0.6078,17.0184,,SYS0000013
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,93.14,kWh,2025,2025-04-01,2026-03-31,RESCOP,0.00721,$/kWh,True,0.6715394,0.67154,Calculated from public prices and simulated quantities,RES,2025,RESCOP,93.14,0.00721,0.6715394,,SYS0000014
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,180.68,kWh,2025,2025-04-01,2026-03-31,RESCP,0.15611,$/kWh,True,28.2059548,28.20595,Calculated from public prices and simulated quantities,RES,2025,RESCP,180.68,0.15611,28.2059548,,SYS0000015
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,136.433,kWh,2025,2025-04-01,2026-03-31,RESCSH,0.09101,$/kWh,True,12.41676733,12.41677,Calculated from public prices and simulated quantities,RES,2025,RESCSH,136.433,0.09101,12.416767329999999,,SYS0000016
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,35.152,kWh,2025,2025-04-01,2026-03-31,RESCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities,RES,2025,RESCSOP,35.152,0.0,0.0,,SYS0000017
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,181.066,kWh,2025,2025-04-01,2026-03-31,RESCWKD,0.03913,$/kWh,True,7.08511258,7.08511,Calculated from public prices and simulated quantities,RES,2025,RESCWKD,181.066,0.03913,7.08511258,,SYS0000018
ICP000004-202602,ICP000004,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RESCFXD,0.6078,$/con/day,True,17.0184,17.0184,Calculated from public prices and simulated quantities,RES,2025,RESCFXD,28.0,0.6078,17.0184,,SYS0000019
ICP000004-202602,ICP000004,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,112.511,kWh,2025,2025-04-01,2026-03-31,RESCOP,0.00721,$/kWh,True,0.81120431,0.8112,Calculated from public prices and simulated quantities,RES,2025,RESCOP,112.511,0.00721,0.81120431,,SYS0000020
ICP000004-202602,ICP000004,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,87.961,kWh,2025,2025-04-01,2026-03-31,RESCP,0.15611,$/kWh,True,13.73159171,13.73159,Calculated from public prices and simulated quantities,RES,2025,RESCP,87.961,0.15611,13.73159171,,SYS0000021
